,Id,Speed,RPM,Engine Load,Gear No._DBSCAN
734,135866,31,1423,37,3.0
735,135865,32,1454,44,3.0
736,135864,32,1459,27,3.0
737,135863,30,1319,52,3.0
738,135914,33,1514,46,3.0
739,135913,34,1544,38,3.0
740,135912,36,1602,38,3.0
741,135911,31,1468,28,3.0
742,135910,35,1597,41,3.0
743,135941,39,1751,49,3.0
744,135940,41,1835,36,3.0
745,135939,43,1941,47,3.0
746,135938,46,1511,43,4.0
747,135937,51,1640,23,4.0
748,135982,52,1687,12,4.0
749,135981,55,1775,36,4.0
750,135980,58,1870,32,4.0
751,135979,61,1949,36,4.0
752,135978,63,2031,42,4.0
753,136029,63,1518,46,5.0
754,136028,66,1613,48,5.0
755,136027,66,1614,30,5.0
756,136026,67,1616,26,5.0
757,136025,66,1613,21,5.0
758,142433,65,1590,25,5.0
759,136055,65,1590,25,5.0
760,142548,66,1606,32,5.0
761,136054,66,1606,32,5.0
762,142547,65,1565,10,5.0
763,136053,65,1565,10,5.0
764,142546,63,1540,25,5.0
765,136052,63,1540,25,5.0
766,136051,64,1545,29,5.0
767,142545,64,1545,29,5.0
768,136101,62,1507,16,5.0
769,136100,62,1513,34,5.0
770,136099,64,1544,31,5.0
771,136098,65,1579,36,5.0
772,136097,64,1548,16,5.0
773,142544,63,1544,32,5.0
774,136163,63,1544,32,5.0
775,142644,64,1559,49,5.0
776,136162,64,1559,49,5.0
777,136161,67,1639,44,5.0
778,142643,67,1639,44,5.0
779,142642,68,1649,24,5.0
780,136160,68,1649,24,5.0
781,136159,67,1644,35,5.0
782,142641,67,1644,35,5.0
783,136186,67,1599,15,5.0
784,142640,67,1599,15,5.0
785,142779,64,1555,16,5.0
786,136184,64,1555,16,5.0
787,142778,64,1550,24,5.0
788,136183,64,1550,24,5.0
789,136182,63,1541,19,5.0
790,142777,63,1541,19,5.0
791,136181,63,1528,16,5.0
792,142776,63,1528,16,5.0
793,136203,61,1473,17,5.0
794,136201,61,1463,17,5.0
795,136198,61,1435,17,5.0
796,136197,58,1391,49,5.0
797,136195,57,1390,49,5.0
798,142775,56,3,60,0.0
799,142914,58,1366,72,5.0
800,142913,61,1483,40,5.0
801,142912,61,1482,18,5.0
802,142911,61,1450,11,5.0
803,142910,59,1450,21,5.0
804,143032,59,1428,41,5.0
805,143031,60,1448,47,5.0
806,143030,0,1500,34,0.0
807,143029,3,1543,54,0.0
808,143028,0,1574,33,0.0
809,143146,65,1584,33,5.0
810,136275,66,1601,32,5.0
811,136274,66,1611,30,5.0
812,136273,66,1607,31,5.0
813,143145,67,1627,37,5.0
814,136361,67,1627,37,5.0
815,143144,68,1642,30,5.0
816,136360,68,1642,30,5.0
817,136359,65,1594,3,5.0
818,143143,65,1594,3,5.0
819,143141,64,1562,38,5.0
820,136358,64,1562,38,5.0
821,143255,67,1623,51,5.0
822,136357,67,1623,51,5.0
823,143254,70,1708,51,5.0
824,143253,72,1757,34,5.0
825,143252,72,1757,26,5.0
826,143251,72,1749,4,5.0
827,143367,67,1636,0,0.0
828,143366,66,1598,0,0.0
829,143365,65,1569,0,0.0
830,143364,63,1527,0,0.0
831,143363,63,1521,0,0.0
832,143457,63,1542,37,5.0
833,143456,65,1568,1,5.0
834,143455,57,1375,0,0.0
835,143454,54,1319,4,5.0
836,136448,54,1319,4,5.0
837,143453,46,888,20,0.0
838,136447,46,888,20,0.0
839,136443,46,1482,47,4.0
840,143526,46,1482,47,4.0
841,136442,51,1649,51,4.0
842,143525,51,1649,51,4.0
843,143524,52,1663,34,4.0
844,136441,52,1663,34,4.0
845,136459,46,1475,0,0.0
846,136458,45,1443,11,4.0
847,136453,45,1455,45,4.0
848,136452,45,1435,36,4.0
849,143523,36,868,20,0.0
850,143522,35,1564,33,3.0
851,143604,40,1812,58,3.0
852,143603,43,1452,21,4.0
853,143602,46,1536,18,4.0
854,143601,46,1489,21,4.0
855,143599,51,1656,57,4.0
856,136550,51,1656,57,4.0
857,143707,54,1748,38,4.0
858,143775,54,1748,38,4.0
859,136549,54,1748,38,4.0
860,143706,58,1857,41,4.0
861,143774,58,1857,41,4.0
862,136548,58,1857,41,4.0
863,136547,59,1882,28,4.0
864,143705,59,1882,28,4.0
865,143773,59,1882,28,4.0
866,136546,57,1834,9,4.0
867,143704,57,1834,9,4.0
868,143772,57,1834,9,4.0
869,136545,55,1741,2,4.0
870,143771,55,1741,2,4.0
871,143703,55,1741,2,4.0
872,136556,48,1524,0,0.0
873,136555,43,1291,0,0.0
874,136554,40,1286,20,4.0
875,136553,44,1442,20,4.0
876,143857,45,1458,37,4.0
877,136561,45,1458,37,4.0
878,136560,45,1472,37,4.0
879,143856,45,1472,37,4.0
880,136559,48,1552,0,0.0
881,143855,48,1552,0,0.0
882,136590,48,1542,0,0.0
